Sname,Jname,family,Jfamily,genus,Jgenus,Mizukoku
Halicampus grayi,ウミヤッコ,Syngnathidae,ヨウジウオ科,Halicampus,ウミヤッコ属,-
Halicampus macrorhynchus,タツウミヤッコ,Syngnathidae,ヨウジウオ科,Halicampus,ウミヤッコ属,-
Halicampus mataafae,チャバナウミヤッコ,Syngnathidae,ヨウジウオ科,Halicampus,ウミヤッコ属,-
Halicampus nitidus,トラフウミヤッコ,Syngnathidae,ヨウジウオ科,Halicampus,ウミヤッコ属,-
Halicampus punctatus,ホシヨウジ,Syngnathidae,ヨウジウオ科,Halicampus,ウミヤッコ属,29415
Halicampus spinirostris,ヒメトゲウミヤッコ,Syngnathidae,ヨウジウオ科,Halicampus,ウミヤッコ属,-
Halichoeres argus,クマドリキュウセン,Labridae,ベラ科,Halichoeres,ホンベラ属,-
Halichoeres biocellatus,ニシキキュウセン,Labridae,ベラ科,Halichoeres,ホンベラ属,-
Halichoeres chrysus,コガネキュウセン,Labridae,ベラ科,Halichoeres,ホンベラ属,-
Halichoeres hartzfeldii,キスジキュウセン,Labridae,ベラ科,Halichoeres,ホンベラ属,-
Halichoeres hortulanus,トカラベラ,Labridae,ベラ科,Halichoeres,ホンベラ属,-
Halichoeres leucurus,アミトリキュウセン,Labridae,ベラ科,Halichoeres,ホンベラ属,-
Halichoeres margaritaceus,アカニジベラ,Labridae,ベラ科,Halichoeres,ホンベラ属,-
Halichoeres marginatus,カノコベラ,Labridae,ベラ科,Halichoeres,ホンベラ属,29744
Halichoeres melanochir,ムナテンベラ,Labridae,ベラ科,Halichoeres,ホンベラ属,-
Halichoeres melanurus,カザリキュウセン,Labridae,ベラ科,Halichoeres,ホンベラ属,-
Halichoeres melasmapomus,ホクロキュウセン,Labridae,ベラ科,Halichoeres,ホンベラ属,-
Halichoeres miniatus,ホホワキュウセン,Labridae,ベラ科,Halichoeres,ホンベラ属,29745
Halichoeres nebulosus,イナズマベラ,Labridae,ベラ科,Halichoeres,ホンベラ属,-
Halichoeres orientalis,ツキベラ,Labridae,ベラ科,Halichoeres,ホンベラ属,-
Halichoeres ornatissimus,オーナメンテッドラス,Labridae,ベラ科,Halichoeres,ホンベラ属,-
Halichoeres papilionaceus,シーグラスラス,Labridae,ベラ科,Halichoeres,ホンベラ属,-
Halichoeres poecilopterus,キュウセン,Labridae,ベラ科,Halichoeres,ホンベラ属,29746
Halichoeres prosopeion,ムナテンベラダマシ,Labridae,ベラ科,Halichoeres,ホンベラ属,-
Halichoeres richmondi,ゴシキキュウセン,Labridae,ベラ科,Halichoeres,ホンベラ属,-
Halichoeres scapularis,セイテンベラ,Labridae,ベラ科,Halichoeres,ホンベラ属,-
Halichoeres solorensis,ホンベラ属の一種,Labridae,ベラ科,Halichoeres,ホンベラ属,-
Halichoeres tenuispinis,ホンベラ,Labridae,ベラ科,Halichoeres,ホンベラ属,29743
Halichoeres trimaculatus,ミツボシキュウセン,Labridae,ベラ科,Halichoeres,ホンベラ属,29742
Halichoeres zeylonicus,ホンベラ属の一種,Labridae,ベラ科,Halichoeres,ホンベラ属,-
Halicmetus niger,クスミアカフウリュウウオ,-,-,Halicmetus,,-
Halicmetus reticulatus,アミメフウリュウウオ,-,-,Halicmetus,,-
Halicmetus ruber,アカフウリュウウオ,-,-,Halicmetus,,-
Halieutaea fitzsimonsi,オキアカグツ,Ogcocephalidae,アカグツ科,Halieutaea,,-
Halieutaea fumosa,ヒメアカグツ,Ogcocephalidae,アカグツ科,Halieutaea,,-
Halieutaea indica,テンジクアカグツ,Ogcocephalidae,アカグツ科,Halieutaea,,-
Halieutaea sp.1,ヘリグロアカグツ,Ogcocephalidae,アカグツ科,Halieutaea,,-
Halieutaea sp.2,トゲアカグツ,Ogcocephalidae,アカグツ科,Halieutaea,,-
Halieutaea stellata,アカグツ,Ogcocephalidae,アカグツ科,Halieutaea,,-
Halieutopsis bathyoreos,ヒラムシフウリュウウオ,-,-,Halieutopsis,,-
Halieutopsis margaretae,マグムシフウリュウウオ,-,-,Halieutopsis,,-
Halieutopsis stellifera,イバラムシフウリュウウオ,-,-,Halieutopsis,,-
Halieutopsis vermicularis,ムシフウリュウウオ,-,-,Halieutopsis,,-
Halimochirurgus alcocki,ナガカワムキ,-,-,Halimochirurgus,,-
Halosauropsis macrochir,クロオビトカゲギス,Halosauridae,トカゲギス科,Halosauropsis,,-
Hapalogenys analis,セトダイ,Haemulidae,イサキ科,Hapalogenys,ヒゲダイ属,-
Hapalogenys kishinouyei,シマセトダイ,Haemulidae,イサキ科,Hapalogenys,ヒゲダイ属,-
Hapalogenys nigripinnis,ヒゲソリダイ,Haemulidae,イサキ科,Hapalogenys,ヒゲダイ属,29614
Hapalogenys sennin,ヒゲダイ,Haemulidae,イサキ科,Hapalogenys,ヒゲダイ属,29615
Haplophryne mollis,ユウレイオニアンコウ,Linophrynidae,オニアンコウ科,Haplophryne,,-
Haptenchelys parviocularis,アンコクホラアナゴ,-,-,Haptenchelys,,-
Harpadon microchir,ミズテング,Synodontidae,エソ科,Harpadon,ミズテング属,-
Harpadon nehereus,テナガミズテング,Synodontidae,エソ科,Harpadon,ミズテング属,-
Harriotta chaetirhampha,アズマギンザメ,Rhinochimaeridae,テングギンザメ科,Harriotta,,-
Harriotta raleighana,ヨミノツカイ,Rhinochimaeridae,テングギンザメ科,Harriotta,,-
Hazeus otakii,ユカタハゼ,Gobiidae,ハゼ科,Hazeus,ユカタハゼ属,-
Helcogramma aquila,モミジヘビギンポ,Tripterygiidae,ヘビギンポ科,Helcogramma,クロマスク属,-
Helcogramma fuscipectoris,クロマスク,Tripterygiidae,ヘビギンポ科,Helcogramma,クロマスク属,-
Helcogramma hudsoni,ナナメヘビギンポ,Tripterygiidae,ヘビギンポ科,Helcogramma,クロマスク属,-
Helcogramma inclinata,アヤヘビギンポ,Tripterygiidae,ヘビギンポ科,Helcogramma,クロマスク属,-
Helcogramma ishigakiensis,ベニモンヘビギンポ,Tripterygiidae,ヘビギンポ科,Helcogramma,クロマスク属,-
Helcogramma nesion,ヨゴレヘビギンポ,Tripterygiidae,ヘビギンポ科,Helcogramma,クロマスク属,29790
Helcogramma rhinoceros,テングヘビギンポ,Tripterygiidae,ヘビギンポ科,Helcogramma,クロマスク属,-
Helcogramma striata,タテジマヘビギンポ,Tripterygiidae,ヘビギンポ科,Helcogramma,クロマスク属,-
Helicolenus avius,オキカサゴ,Sebastidae,メバル科,Helicolenus,ユメカサゴ属,-
Helicolenus dactylopterus,ユメカサゴ属の一種,Sebastidae,メバル科,Helicolenus,ユメカサゴ属,-
Helicolenus fedorovi,ニセオキカサゴ,Sebastidae,メバル科,Helicolenus,ユメカサゴ属,-
Helicolenus hilgendorfi,ユメカサゴ,Sebastidae,メバル科,Helicolenus,ユメカサゴ属,29473
Helicolenus hilgendorfii,ユメカサゴ,Sebastidae,メバル科,Helicolenus,ユメカサゴ属,29473
Hemibarbus barbus,ニゴイ,Cyprinidae,コイ科,Hemibarbus,ニゴイ属,29257
Hemibarbus labeo,コウライニゴイ,Cyprinidae,コイ科,Hemibarbus,ニゴイ属,29256
Hemibarbus longirostris,ズナガニゴイ,Cyprinidae,コイ科,Hemibarbus,ニゴイ属,29255
Hemibarbus maculat,ウスクチニゴイ,Cyprinidae,コイ科,Hemibarbus,ニゴイ属,-
Hemibarbus maculatus,ニゴイ属の一種,Cyprinidae,コイ科,Hemibarbus,ニゴイ属,-
Hemibarbus medius,ニゴイ属の一種,Cyprinidae,コイ科,Hemibarbus,ニゴイ属,-
Hemibarbus mylodon,ヤガタニゴイ,Cyprinidae,コイ科,Hemibarbus,ニゴイ属,-
Hemibarbus sp.,ニゴイ属の一種,Cyprinidae,コイ科,Hemibarbus,ニゴイ属,-
Hemibarbus umbrifer,ニゴイ属の一種,Cyprinidae,コイ科,Hemibarbus,ニゴイ属,-
Hemibrycon boquiae,Hemibrycon属の一種,-,-,Hemibrycon,Hemibrycon属,-
Hemibrycon brevispini,ニゴイ属の一種,-,-,Hemibrycon,Hemibrycon属,-
Hemibrycon polyodon,ニゴイ属の一種,-,-,Hemibrycon,Hemibrycon属,-
Hemiculter leucisculus,カワイワシ,Cyprinidae,コイ科,Hemiculter,ヘミクルテル属,29217
Hemiglyphidodon plagiometopon,スズメダイモドキ,Pomacentridae,スズメダイ科,Hemiglyphidodon,スズメダイモドキ属,-
Hemigrammocypris neglectus,カワバタモロコ,-,-,Hemigrammocypris,カワバタモロコ属,29220
Hemigymnus fasciatus,シマタレクチベラ,Labridae,ベラ科,Hemigymnus,タレクチベラ属,-
Hemigymnus melapterus,タレクチベラ,Labridae,ベラ科,Hemigymnus,タレクチベラ属,-
Hemilepidotus gilberti,ヨコスジカジカ,Cottidae,カジカ科,Hemilepidotus,,-
Hemilepidotus jordani,ナメヨコスジカジカ,Cottidae,カジカ科,Hemilepidotus,,-
Hemilepidotus papilio,クジャクカジカ,Cottidae,カジカ科,Hemilepidotus,,-
Heminodus philippinus,イトキホウボウ,-,-,Heminodus,,-
Hemiramphus convexus convexus,クロビレサヨリトビウオ,Hemiramphidae,サヨリ科,Hemiramphus,,-
Hemiramphus far,ホシザヨリ,Hemiramphidae,サヨリ科,Hemiramphus,,-
Hemiramphus lutkei,ナンヨウサヨリ,Hemiramphidae,サヨリ科,Hemiramphus,,-
Hemitaurichthys polylepis,カスミチョウチョウウオ,Chaetodontidae,チョウチョウウオ科,Hemitaurichthys,カスミチョウチョウウオ属,-
Hemitaurichthys thompsoni,トンプソンチョウチョウウオ,Chaetodontidae,チョウチョウウオ科,Hemitaurichthys,カスミチョウチョウウオ属,-
Hemitriakis complicofasciata,イレズミエイラクブカ,Triakidae,ドチザメ科,Hemitriakis,,-
Hemitriakis japanica,エイラクブカ,Triakidae,ドチザメ科,Hemitriakis,,-
Hemitripterus americanus,ケムシカジカ,Hemitripteridae,ケムシカジカ科,Hemitripterus,,-
Hemitripterus villosus,ケムシカジカ,Hemitripteridae,ケムシカジカ科,Hemitripterus,,-
Hemitrygon akajei,アカエイ,Dasyatidae,アカエイ科,Hemitrygon,アカエイ属,29119
Hemitrygon bennetti,オナガエイ,Dasyatidae,アカエイ科,Hemitrygon,アカエイ属,-
Hemitrygon fluviorum,アカエイ属の一種,Dasyatidae,アカエイ科,Hemitrygon,アカエイ属,-
Hemitrygon izuensis,イズヒメエイ,Dasyatidae,アカエイ科,Hemitrygon,アカエイ属,-
Hemitrygon laevigata,シロエイ,Dasyatidae,アカエイ科,Hemitrygon,アカエイ属,-
Hemitrygon sp.ARIAKE-AKAEI,アリアゲアカエイ,Dasyatidae,アカエイ科,Hemitrygon,アカエイ属,-
Heniochus acuminatus,ハタタテダイ,Chaetodontidae,チョウチョウウオ科,Heniochus,ハタタテダイ属,29657
Heniochus chrysostomus,ミナミハタタテダイ,Chaetodontidae,チョウチョウウオ科,Heniochus,ハタタテダイ属,-
Heniochus diphreutes,ムレハタタテダイ,Chaetodontidae,チョウチョウウオ科,Heniochus,ハタタテダイ属,29658
Heniochus monoceros,オニハタタテダイ,Chaetodontidae,チョウチョウウオ科,Heniochus,ハタタテダイ属,-
Heniochus singularius,シマハタタテダイ,Chaetodontidae,チョウチョウウオ科,Heniochus,ハタタテダイ属,-
Heniochus varius,ツノハタタテダイ,Chaetodontidae,チョウチョウウオ科,Heniochus,ハタタテダイ属,-
Hephaestus fuliginosus,Hephaestus属の一種,-,-,Hephaestus,Hephaestus属,-
Heptranchias perlo,エドアブラザメ,Hexanchidae,カグラザメ科,Heptranchias,,-
Herklotsichthys quadrimaculatus,ミズン,Clupeidae,ニシン科,Herklotsichthys,ミズン属,29166
Hetereleotris exilis,ササガキハゼ,-,-,Hetereleotris,シロズキンハゼ属,-
Hetereleotris poecila,シロズキンハゼ,-,-,Hetereleotris,シロズキンハゼ属,-
Heteroconger fugax,ニゲミズチンアナゴ,Congridae,アナゴ科,Heteroconger,チンアナゴ属,-
Heteroconger hassi,チンアナゴ,Congridae,アナゴ科,Heteroconger,チンアナゴ属,-
Heteroconger polyzona,ゼブラアナゴ,Congridae,アナゴ科,Heteroconger,チンアナゴ属,-
Heteroconger sp.,チンアナゴ属の一種,Congridae,アナゴ科,Heteroconger,チンアナゴ属,-
Heterodontus japonicus,ネコザメ,Heterodontidae,ネコザメ科,Heterodontus,,-
Heterodontus zebra,シマネコザメ,Heterodontidae,ネコザメ科,Heterodontus,,-
Heteromycteris japonicus,ササウシノシタ,Soleidae,ササウシノシタ科,Heteromycteris,ササウシノシタ属,30095
Heteromycteris matsubarai,モンツキウシノシタ,Soleidae,ササウシノシタ科,Heteromycteris,ササウシノシタ属,-
Heterophotus ophistoma,オオトカゲハダカ,Stomiidae,ワニトカゲギス科,Heterophotus,,-
Heteroplopomus barbatus,ニラミハゼ,-,-,Heteroplopomus,ニラミハゼ属,29957
Heteropriacanthus carolinus,ゴマヒレキントキ,Priacanthidae,キントキダイ科,Heteropriacanthus,ゴマヒレキントキ属,-
Heteropriacanthus cruentatus,ゴマヒレキントキ,Priacanthidae,キントキダイ科,Heteropriacanthus,ゴマヒレキントキ属,-
Hexagrammos agrammus,クジメ,Hexagrammidae,アイナメ科,Hexagrammos,アイナメ属,29747
Hexagrammos lagocephalus,ウサギアイナメ,Hexagrammidae,アイナメ科,Hexagrammos,アイナメ属,-
Hexagrammos octogrammus,スジアイナメ,Hexagrammidae,アイナメ科,Hexagrammos,アイナメ属,-
Hexagrammos otakii,アイナメ,Hexagrammidae,アイナメ科,Hexagrammos,アイナメ属,29748
Hexagrammos stelleri,エゾアイナメ,Hexagrammidae,アイナメ科,Hexagrammos,アイナメ属,-
Hexanchus griseus,カグラザメ,Hexanchidae,カグラザメ科,Hexanchus,,-
Hexanchus nakamurai,シロカグラ,Hexanchidae,カグラザメ科,Hexanchus,,-
Hexatrygon bickelli,ムツエラエイ,Hexatrygonidae,ムツエラエイ科,Hexatrygon,,-
Hilsa kelee,の一種,Clupeidae,ニシン科,Hilsa,,-
Himantolophus borealis,キタチョウチンアンコウ,Himantolophidae,チョウチンアンコウ科,Himantolophus,,-
Himantolophus sagamius,チョウチンアンコウ,Himantolophidae,チョウチンアンコウ科,Himantolophus,,-
Himantura undulata,ヒョウモンオトメエイ,Dasyatidae,アカエイ科,Himantura,,-
Hime formosana,イトヒキヒメ,Aulopidae,ヒメ科,Hime,Hime属,-
Hime japonica,ヒメ,Aulopidae,ヒメ科,Hime,Hime属,-
Hime sp.HATATATE-HIME,ハタタケヒメ,Aulopidae,ヒメ科,Hime,Hime属,-
Hippichthys cyanospilos,ハクテンヨウジ,Syngnathidae,ヨウジウオ科,Hippichthys,カワヨウジ属,29407
Hippichthys heptagonus,アミメカワヨウジ,Syngnathidae,ヨウジウオ科,Hippichthys,カワヨウジ属,29408
Hippichthys penicillus,ガンテンイシヨウジ,Syngnathidae,ヨウジウオ科,Hippichthys,カワヨウジ属,29406
Hippichthys spicifer,カワヨウジ,Syngnathidae,ヨウジウオ科,Hippichthys,カワヨウジ属,29409
Hippocampus coronatus,タツノオトシゴ,Syngnathidae,ヨウジウオ科,Hippocampus,タツノオトシゴ属,29422
Hippocampus denise,カクレタツノコ,Syngnathidae,ヨウジウオ科,Hippocampus,タツノオトシゴ属,-
Hippocampus haema,ヒメタツ,Syngnathidae,ヨウジウオ科,Hippocampus,タツノオトシゴ属,-
Hippocampus histrix,イバラタツ,Syngnathidae,ヨウジウオ科,Hippocampus,タツノオトシゴ属,-
Hippocampus japapigu,ハチジョウタツ,Syngnathidae,ヨウジウオ科,Hippocampus,タツノオトシゴ属,-
Hippocampus kelloggi,オオウミウマ,Syngnathidae,ヨウジウオ科,Hippocampus,タツノオトシゴ属,29420
Hippocampus kuda,クロウミウマ,Syngnathidae,ヨウジウオ科,Hippocampus,タツノオトシゴ属,29421
Hippocampus mohnikei,サンゴタツ,Syngnathidae,ヨウジウオ科,Hippocampus,タツノオトシゴ属,29418
Hippocampus pontohi,ユリタツノコ,Syngnathidae,ヨウジウオ科,Hippocampus,タツノオトシゴ属,-
Hippocampus sindonis,ハナタツ,Syngnathidae,ヨウジウオ科,Hippocampus,タツノオトシゴ属,-
Hippocampus sp.,タツノオトシゴ属の一種,Syngnathidae,ヨウジウオ科,Hippocampus,タツノオトシゴ属,-
Hippocampus trimaculatus,タカクラタツ,Syngnathidae,ヨウジウオ科,Hippocampus,タツノオトシゴ属,29419
Hippoglossina oblonga,の一種,-,-,Hippoglossina,,-
Hippoglossoides dubius,アカガレイ,Pleuronectidae,カレイ科,Hippoglossoides,アカガレイ属,-
Hippoglossoides elassodon,ウマガレイ,Pleuronectidae,カレイ科,Hippoglossoides,アカガレイ属,-
Hippoglossoides platessoides,アメリカンプレイス,Pleuronectidae,カレイ科,Hippoglossoides,アカガレイ属,-
Hippoglossoides robustus,ドロガレイ,Pleuronectidae,カレイ科,Hippoglossoides,アカガレイ属,-
Hippoglossus hippoglossus,の一種,Pleuronectidae,カレイ科,Hippoglossus,,-
Hippoglossus stenolepis,オヒョウ,Pleuronectidae,カレイ科,Hippoglossus,,-
Hippopotamyrus batesii,Hippopotamyrus属の一種,-,-,Hippopotamyrus,Hippopotamyrus属,-
Hipposcarus longiceps,キツネブダイ,Scaridae,ブダイ科,Hipposcarus,キツネブダイ属,-
Hirundichthys albimaculatus,オオメオキトビ,Exocoetidae,トビウオ科,Hirundichthys,,-
Hirundichthys gilberti,オキトビ,Exocoetidae,トビウオ科,Hirundichthys,,-
Hirundichthys oxycephalus,ホソアオトビ,Exocoetidae,トビウオ科,Hirundichthys,,-
Hirundichthys speculiger,ニノジトビウオ,Exocoetidae,トビウオ科,Hirundichthys,,-
Histiobranchus bathybius,ソコアナゴ,Synaphobranchidae,ホラアナゴ科,Histiobranchus,,-
Histiopterus typus,カワビシャ,Pentacerotidae,カワビシャ科,Histiopterus,カワビシャ属,-
Histrio histrio,ハナオコゼ,Antennariidae,カエルアンコウ科,Histrio,ハナオコゼ属,29378
Hologymnosus annulatus,ナメラベラ,Labridae,ベラ科,Hologymnosus,シロタスキベラ属,-
Hologymnosus doliatus,シロタスキベラ,Labridae,ベラ科,Hologymnosus,シロタスキベラ属,-
Hologymnosus rhodonotus,アヤタスキベラ,Labridae,ベラ科,Hologymnosus,シロタスキベラ属,-
Holtbyrnia innesi,キタノハナメイワシ,Platytroctidae,ハナメイワシ科,Holtbyrnia,,-
Homostolus acer,イトヒキイタチウオ,-,-,Homostolus,イトヒキイタチウオ属,-
Hongeo koreana,コウライカスベ,Rajidae,ガンギエイ科,Hongeo,,-
Hoplichthys fasciatus,シマハリゴチ,Hoplichthyidae,ハリゴチ科,Hoplichthys,,-
Hoplichthys filamentosus,イトハリゴチ,Hoplichthyidae,ハリゴチ科,Hoplichthys,,-
Hoplichthys gilberti,ソコハリゴチ,Hoplichthyidae,ハリゴチ科,Hoplichthys,,-
Hoplichthys langsdorfii,ナツハリゴチ,Hoplichthyidae,ハリゴチ科,Hoplichthys,,-
Hoplichthys mimaseanus,ミマセハリゴチ,Hoplichthyidae,ハリゴチ科,Hoplichthys,,-
Hoplichthys regani,ハリゴチ,Hoplichthyidae,ハリゴチ科,Hoplichthys,,-
Hoplobrotula armata,ヨロイイタチウオ,Ophidiidae,アシロ科,Hoplobrotula,ヨロイイタチウオ属,-
Hoplobrotula badia,クロヨロイイタチウオ,Ophidiidae,アシロ科,Hoplobrotula,ヨロイイタチウオ属,-
Hoplolatilus chlupatyi,タマムシサンゴアマダイ,Malacanthidae,キツネアマダイ科,Hoplolatilus,,-
Hoplolatilus cuniculus,オキナワサンゴアマダイ,Malacanthidae,キツネアマダイ科,Hoplolatilus,,-
Hoplolatilus fourmanoiri,ホタルビサンゴアマダイ,Malacanthidae,キツネアマダイ科,Hoplolatilus,,-
Hoplolatilus fronticinctus,サンゴアマダイ属の一種,Malacanthidae,キツネアマダイ科,Hoplolatilus,,-
Hoplolatilus marcosi,アカオビサンゴアマダイ,Malacanthidae,キツネアマダイ科,Hoplolatilus,,-
Hoplosebastes armatus,ハナカサゴ,Scorpaenidae,フサカサゴ科,Hoplosebastes,,-
Hoplostethus crassispinus,マルヒウチダイ,Trachichthyidae,ヒウチダイ科,Hoplostethus,,-
Hoplostethus japonicus,ヒウチダイ,Trachichthyidae,ヒウチダイ科,Hoplostethus,,-
Hoplostethus melanopus,クロヒウチ,Trachichthyidae,ヒウチダイ科,Hoplostethus,,-
Howella parini,クシスミクイウオ,Percichthyidae,ペルキクティス科,Howella,クシスミクイウオ属,-
Howella sherborni,ナミトゲスミクイウオ,Percichthyidae,ペルキクティス科,Howella,クシスミクイウオ属,-
Howella simplex,トゲスミクイウオ,Percichthyidae,ペルキクティス科,Howella,クシスミクイウオ属,-
Howella sp.,クシスミクイウオ属の一種,Percichthyidae,ペルキクティス科,Howella,クシスミクイウオ属,-
Howella zina,トゲクシスミクイウオ,Percichthyidae,ペルキクティス科,Howella,クシスミクイウオ属,-
Hozukius emblemarius,ホウズキ,Scorpaenidae,フサカサゴ科,Hozukius,,-
Hozukius guyotensis,ベニメヌケ,Scorpaenidae,フサカサゴ科,Hozukius,,-
Huso dauricus,ダウリアチョウザメ,Acipenseridae,チョウザメ科,Huso,ダウリアチョウザメ属,29122
Huso dauricus x Acipenser schrenckii,ダウリアチョウザメとアムールチョウザメの交配種,Acipenseridae,チョウザメ科,Huso,ダウリアチョウザメ属,-
Huso huso,オオチョウザメ,Acipenseridae,チョウザメ科,Huso,ダウリアチョウザメ属,-
Hydrolagus barbouri,ココノホシギンザメ,Chimaeridae,ギンザメ科,Hydrolagus,,-
Hydrolagus eidolon,ニジギンザメ,Chimaeridae,ギンザメ科,Hydrolagus,,-
Hydrolagus mitsukurii,アカギンザメ,Chimaeridae,ギンザメ科,Hydrolagus,,-
Hydrolagus ogilbyi,ギンザメダマシ,Chimaeridae,ギンザメ科,Hydrolagus,,-
Hydrolagus purpurescens,ムラサキギンザメ,Chimaeridae,ギンザメ科,Hydrolagus,,-
Hygophum benoiti,ドングリハダカ属の一種,Myctophidae,ハダカイワシ科,Hygophum,ドングリハダカ属,-
Hygophum hygomii,ドングリハダカ属の一種,Myctophidae,ハダカイワシ科,Hygophum,ドングリハダカ属,-
Hygophum proximum,ツマリドングリハダカ,Myctophidae,ハダカイワシ科,Hygophum,ドングリハダカ属,-
Hygophum reinhardtii,ドングリハダカ,Myctophidae,ハダカイワシ科,Hygophum,ドングリハダカ属,-
Hygophum sp.,ドングリハダカ属の一種,Myctophidae,ハダカイワシ科,Hygophum,ドングリハダカ属,-
Hymenocephalus hachijoensis,ハチジョウソコダラ,Macrouridae,ソコダラ科,Hymenocephalus,スジダラ属,-
Hymenocephalus lethonemus,イトダラ,Macrouridae,ソコダラ科,Hymenocephalus,スジダラ属,-
Hymenocephalus longiceps,ワニダラ,Macrouridae,ソコダラ科,Hymenocephalus,スジダラ属,-
Hymenocephalus papyraceus,カミダラ,Macrouridae,ソコダラ科,Hymenocephalus,スジダラ属,-
Hymenocephalus striatissimus,スジダラ,Macrouridae,ソコダラ科,Hymenocephalus,スジダラ属,-
Hymenocephalus yamasakiorum,オグロスジダラ,Macrouridae,ソコダラ科,Hymenocephalus,スジダラ属,-
Hymenogadus gracilis,オニスジダラ,-,-,Hymenogadus,,-
Hyperoglyphe japonica,メダイ,Centrolophidae,イボダイ科,Hyperoglyphe,メダイ属,29729
Hypoatherina barenesi,オオスジイソイワシ,Atherinidae,トウゴロウイワシ科,Hypoatherina,ギンイソイワシ属,-
Hypoatherina celebesensis,ギンイソイワシ属の一種,Atherinidae,トウゴロウイワシ科,Hypoatherina,ギンイソイワシ属,-
Hypoatherina lunata,オキナワトウゴロウ,Atherinidae,トウゴロウイワシ科,Hypoatherina,ギンイソイワシ属,29442
Hypoatherina panatela,トガリイソイワシ,Atherinidae,トウゴロウイワシ科,Hypoatherina,ギンイソイワシ属,-
Hypoatherina temminckii,ミナミギンイソイワシ,Atherinidae,トウゴロウイワシ科,Hypoatherina,ギンイソイワシ属,-
Hypoatherina tsurugae,ギンイソイワシ,Atherinidae,トウゴロウイワシ科,Hypoatherina,ギンイソイワシ属,29441
Hypoatherina valenciennei,トウゴロイワシ,Atherinidae,トウゴロウイワシ科,Hypoatherina,ギンイソイワシ属,-
Hypoatherina woodwardi,オキナワトウゴロウ,Atherinidae,トウゴロウイワシ科,Hypoatherina,ギンイソイワシ属,29442
Hypogaleus hyugaensis,ツマグロエイラクブカ,-,-,Hypogaleus,,-
Hypomesus japonicus,チカ,Osmeridae,キュウリウオ科,Hypomesus,ワカサギ属,29329
Hypomesus nipponensis,ワカサギ,Osmeridae,キュウリウオ科,Hypomesus,ワカサギ属,29330
Hypomesus olidus,イシカリワカサギ,Osmeridae,キュウリウオ科,Hypomesus,ワカサギ属,29331
Hypomesus pretiosus,チカ,Osmeridae,キュウリウオ科,Hypomesus,ワカサギ属,29329
Hypophthalmichthys molitrix,ハクレン,Cyprinidae,コイ科,Hypophthalmichthys,ハクレン属,29214
Hypophthalmichthys nobilis,コクレン,Cyprinidae,コイ科,Hypophthalmichthys,ハクレン属,29215
Hypophthalmichthys nobilis x Hypophthalmichthys molitrix,コクレンとハクレンの交配種,Cyprinidae,コイ科,Hypophthalmichthys,ハクレン属,-
Hypoptychus dybowskii,シワイカナゴ,Hypoptychidae,シワイカナゴ科,Hypoptychus,,-
Hyporhamphus affinis,サヨリ属の一種,Hemiramphidae,サヨリ科,Hyporhamphus,サヨリ属,-
Hyporhamphus dussumieri,マルサヨリ,Hemiramphidae,サヨリ科,Hyporhamphus,サヨリ属,29461
Hyporhamphus intermedius,クルメサヨリ,Hemiramphidae,サヨリ科,Hyporhamphus,サヨリ属,29459
Hyporhamphus limbatus,サヨリ属の一種,Hemiramphidae,サヨリ科,Hyporhamphus,サヨリ属,-
Hyporhamphus quoyi,センニンサヨリ,Hemiramphidae,サヨリ科,Hyporhamphus,サヨリ属,29462
Hyporhamphus sajori,サヨリ,Hemiramphidae,サヨリ科,Hyporhamphus,サヨリ属,29460
Hyporhamphus yuri,ユリサヨリ,Hemiramphidae,サヨリ科,Hyporhamphus,サヨリ属,-
Hyporthodus octofasciatus,マハタモドキ,-,-,Hyporthodus,,-
Hyporthodus septemfasciatus,マハタ,-,-,Hyporthodus,,-
Hypsagonus corniger,トンガリシャチウオ,Agonidae,トクビレ科,Hypsagonus,,-
Hypsagonus quadricornis,ツノシャチウオ,Agonidae,トクビレ科,Hypsagonus,,-
Hypseleotris compressa,エンパイアガジョン,Eleotridae,カワアナゴ科,Hypseleotris,タナゴモドキ属,-
Hypseleotris cyprinoides,タナゴモドキ,Eleotridae,カワアナゴ科,Hypseleotris,タナゴモドキ属,29830
Hypseleotris galii,タナゴモドキ属の一種,Eleotridae,カワアナゴ科,Hypseleotris,タナゴモドキ属,-
Hypseleotris klunzingeri,タナゴモドキ属の一種,Eleotridae,カワアナゴ科,Hypseleotris,タナゴモドキ属,-
Hypseleotris sp.,タナゴモドキ属の一種,Eleotridae,カワアナゴ科,Hypseleotris,タナゴモドキ属,-
Hypselobarbus thomassi,Hypselobarbus属の一種,Cyprinidae,コイ科,Hypselobarbus,Hypselobarbus属,-
Icelinus borealis,の一種,Cottidae,カジカ科,Icelinus,,-
Icelinus japonicus,フタスジカジカ,Cottidae,カジカ科,Icelinus,,-
Icelinus pietschi,ヒメフタスジカジカ,Cottidae,カジカ科,Icelinus,,-
Icelus canaliculatus,クロコオリカジカ,Cottidae,カジカ科,Icelus,,-
Icelus cataphractus,コオリカジカ,Cottidae,カジカ科,Icelus,,-
Icelus ecornis,チゴコオリカジカ,Cottidae,カジカ科,Icelus,,-
Icelus gilberti,ダルマコオリカジカ,Cottidae,カジカ科,Icelus,,-
